Drive_ID,Vendor,Model,Firmware_Version,Temperature_C,Total_TBW_TB,Total_TBR_TB,Power_On_Hours,Unsafe_Shutdowns,Media_Errors,Percent_Life_Used,Available_Spare,SMART_Warning_Flag,Failure_Mode,Failure_Flag
NVME-10000,Western Digital,SN850,1.0.0,43.7,846.1,923.08,21086,1,0,70.5,92.9,0,0,0
NVME-10001,Intel,670p,1.0.0,38.9,359.68,294.8,33615,0,0,30.0,97.0,0,0,0
NVME-10002,Intel,670p,1.0.0,34.7,442.19,502.05,21659,1,0,36.8,96.3,0,0,0
NVME-10003,Western Digital,SN850,1.1.2,37.5,212.21,180.79,14105,10,7,17.7,98.2,0,3,1
NVME-10004,Western Digital,SN850,1.1.2,44.3,304.17,328.9,7372,46,4,25.3,97.5,1,3,1
NVME-10005,Crucial,P5 Plus,1.0.0,81.6,21.18,17.23,776,1,9,1.8,99.8,1,2,1
NVME-10006,Crucial,P5 Plus,3.0.5,62.6,675.84,579.67,36594,1,10,56.3,94.4,0,2,1
NVME-10007,Western Digital,SN850,2.0.1,38.4,1080.56,1153.59,33309,1,38,90.0,2.9,1,1,1
NVME-10008,Western Digital,SN850,1.1.2,36.6,465.93,539.7,22588,0,0,38.8,96.1,0,0,0
NVME-10009,Western Digital,SN850,1.0.0,34.1,1205.01,473.08,24551,1,39,100.0,3.0,1,1,1
NVME-10010,Crucial,P5 Plus,1.0.0,47.0,328.47,318.41,22987,0,0,27.4,97.3,0,0,0
NVME-10011,Intel,670p,2.1.0,62.3,1068.53,891.92,33602,0,5,89.0,91.1,0,2,1
NVME-10012,Crucial,P5 Plus,3.0.5,31.8,44.31,51.23,1569,0,0,3.7,99.6,0,0,0
NVME-10013,Samsung,980 Pro,1.0.0,40.5,322.4,385.02,6553,1,0,26.9,97.3,0,0,0
NVME-10014,Crucial,P5 Plus,1.1.2,41.0,176.87,205.89,4290,0,0,14.7,98.5,0,0,0
NVME-10015,Crucial,P5 Plus,3.0.5,25.9,696.81,818.38,17211,1,0,58.1,94.2,0,0,0
NVME-10016,Intel,670p,1.1.2,77.3,593.35,490.65,29499,0,10,49.4,95.1,0,2,1
NVME-10017,Western Digital,SN850,3.0.5,38.6,598.48,588.36,27225,0,0,49.9,95.0,0,0,0
NVME-10018,Seagate,FireCuda 530,2.0.1,77.2,173.11,201.47,16213,0,11,14.4,98.6,0,2,1
NVME-10019,Samsung,980 Pro,1.0.0,39.3,411.56,480.01,8465,0,0,34.3,96.6,0,0,0
NVME-10020,Crucial,P5 Plus,3.0.5,28.9,267.02,316.61,5438,0,0,22.3,97.8,0,0,0
NVME-10021,Seagate,FireCuda 530,1.1.2,32.8,147.22,137.93,10875,2,0,12.3,98.8,0,0,0
NVME-10022,Intel,670p,2.1.0,40.8,67.18,54.24,5517,0,0,5.6,99.4,0,0,0
NVME-10023,Crucial,P5 Plus,1.0.0,31.0,922.65,761.44,31462,1,98,76.9,92.3,1,4,1
